id,text,stereotype,vilification,dehumanization,extreme_language,lack_of_empathy,invalidation,language
fas_264ea056032458a9ddc04fcb5be0f938,در مورد زن سفید هم می‌دونم که همیشه فک می‌کنن خودشون رو ناجی زنان بقیه کنن. ولی جاهایی که لازمه کار کردی باشه و دیالوگ نزنی هم بازم هزار بار از مردها باحال‌ترن,1,0,0,0,0,1,fas
fas_a5f3b0f7ca389f7a7c65c57b0b9f63bf,هفته عفاف و حجاب یادآور قصه پردرد زن‌هاییه که به خاک و خون کشیده شدن تا یه تکه پارچه روی سرشون بذارن...,1,0,1,0,0,0,fas
khm_c4ee54db389524670d9b932dc72ebb8f,លោកយល់ថាការអូសបន្លាយសំណុំរឿងនេះគ្រាន់តែព្រោះតុលាការគ្មានភស្តុតាងដើម្បីដាក់បន្ទុកលោក កឹម សុខានោះទេ ឃើញ,0,0,0,0,1,0,khm
arb_b5a6f318b44b4459b450f27d9e82cda9,يااا الله خربتوا العقل وانتو متحولين جنسيا يا دنقرضووووااا اخوي ياسر قاعد يزعل منكووو,1,1,0,1,1,1,arb
fas_fddce48d84021f73799827c38cd17c1a,فقط یه آدم بی‌روح میتونه دفاع از این سگ بی‌وفا رو بکنه,0,1,0,0,1,0,fas
khm_71fc472261b2892197255264c0daa67b,ប្រហែលលោកគ្រូ មៀច សីហា គាត់មានភាពល្បីល្បាញ តែក៏គ្មានអ្វីសំខាន់ទៅជាមួយគាត់ ចុះទម្រាំតែគ្រាប់ល្ពៅ,0,0,0,0,0,1,khm
fas_76311d387c2561e943dccf85567fda57,این حیوانات ضدانقلاب باید نابود شوند تا زمینه‌ی استقرار جمهوری فراهم شود.,0,1,1,1,1,0,fas
tel_4d8e5d75a3e60ab575d00ac96630d760,విద్యా నాణ్యత తగ్గిపోతోందని నిల్వ చెత్తలా తోసేసారు #సమాజం.,0,0,1,0,1,0,tel
fas_0b22d992a64c70bb664f801bb43d0460,الاغ‌های بی‌غیرت، یه عمر دادن به چین رو جیب کردین و حالا می‌خواین سرتونو از شرمش بکشین توی گل فوتبال. غیرت به جیب شماها نرسیده، کیسه‌های بی‌ارزش و بی‌حس.,1,1,1,1,1,1,fas
fas_c3428ae49f2a42c8e450cb3b3fc8637c,با این بهانه، اگه اسراییل می‌خواست یه روز اینجا رو به هم می‌زد و فلسطینی‌ها رو تو غزه پاک می‌کرد.,0,0,1,0,1,0,fas
khm_a2165c3de3949cd53eb1af94bbfa97f1,ក្រោយការបរាជ័យដ៏សែនជូរចត់បំផុតនៃនយោបាយប្រជាភិថុត នៃការវិលត្រឡប់ចូលស្រុកនៅថ្ងៃ៩ វិច្ឆិកា ២០១៩ រហូតមកទល,0,0,0,0,1,0,khm
fas_de99602831b40ecc4402034b11d43319,فیلتر کردن محتوای اخلاقی کلا درست نیست و بیهودس,0,0,0,0,0,1,fas
amh_35efe831826393454b93eba4aa07eccf,@USER እሰይ የኔ አምበሳ ከአንተ የምንጠብቀው እንደዚህ ዓይነት የባድ ቆራጥ ውሳኔ ነው፡፡ ይህን አረመኔ ዘንዶ ከምድራችን ንቀልልን፡፡,0,1,1,0,0,1,amh
khm_549954d843ef41d72e3781e075495dda,ប្អូនទៅតអាអត់មានប្រយោជន៍ទេ វាតែងតែចង់តោងល្បីប្អូនស្រី ប៉ុន្តែវាមិនដែលធ្វើអីឲ្យស្អាតទេ,0,0,1,0,0,0,khm
amh_97824e98a343a2258ba43f09d19aa2cd,በቃ ያንተ ሥራ ሰዎችን በማስገደል እንጄራ መብላት ነው? የጭራቅ ልጅ እና ልጅነት!,0,1,1,0,0,0,amh
khm_f28c1de39473641592811b91a5708bfa,បន្ទាប់ពីស្រ្ដីម្នាក់និយាយបានបន្តិច អ្នកស្រីក៏ងាកមកក្រោយរកសំឡេងដោយគ្មានការយកចិត្តទុកដាក់ មិនសូវស្គាល់មុខអ្នកន,0,0,0,0,1,0,khm
khm_7cb79de5dbfd1c76f24050055a265912,ការឈ្លានពានរបស់រុស្ស៊ីលើអ៊ុយក្រែន និងវិបត្តិស្បៀងអាហារពិភពលោក នឹងក្លាយជាបញ្ហាចោទដ៏សំខាន់ចំពោះមេដឹកនាំព,0,0,0,0,1,0,khm
ben_6f665e406f2e866b4f6b644d4b2ec4c4,"তোর কথায় দেশের ভালো কিছু নাই, তুই শুধু গন্ডগোল পাচ্ছিস আর তোর মত কয়েকজন মানুষ তো আমাদের দেশের ভবিষ্যত নষ্ট করার চে",0,0,1,0,0,1,ben
zho_725dcf6ab9e95d756dfeb2ce7df9fb8e,到时候你绝对会看到大猩猩都比黑人更讨国女喜欢,1,1,1,0,0,0,zho
fas_590af7ed40f73248f26c2b16598e212d,هم مهاجم خارجی دیروز اومد هم اولین باخت استقلال رو دیدیم،جمعه خوبی شد.,0,1,0,0,1,0,fas
tur_87c57c6c1bbc1aedcace23852d7c78e3,"Suriye'liler zaten hep başımıza bela olacak, parasını kim ödeyecekse çabuk versin yoksa yine işimizi bitirirler #SuriyelilereHayır",1,0,0,1,1,0,tur
arb_fa24ffc7216c1d222a96dfc892eb442c,بدو يسلموا سوريا كلها طالما إيران وآل الأسد باقين فيها. المهم إخراج إيران من سوريا وتنظيفها من هالزرف. المهم إني وأمثالكم تضلوا مبعوصين طالعه، وإنت يا أحمق إسرائيل جاية الدور ولو بعد حين.,1,1,1,1,1,1,arb
fas_6500fe2787d281d0dda9e31683bd7297,هواپیماهای بی‌کیفیت شونو به روسیه می‌فروشن تا برجام رو از بین ببرن و دنیا رو به هم بریزنن.,1,1,0,0,1,1,fas
fas_23fe4c8e29dbe275b0de2e6cb1e58671,خب طرف سکته کرده گشت، اصلاً چه دغدغه‌ای داره اصلاً؟,0,0,0,0,1,0,fas
arb_0fd03c3981fb5b3f9710b0179c941e3e,اتمنى ان ما يصيرش في لجنة التحكيم موسم 4 فشلتنا وفشلت الخليج كله مع العربان والكل صار يسوي بنت الخليج مثل احلام,1,1,0,0,0,1,arb
ben_6ba255182a0204649502fbbfa1b05f1f,হিন্দু ভাই বোন এর মাথায় কিছু থাকলে তাদের তৈরি জিনিস তাদের নাকি খোদা হয় আবার তারাই সেটা নাকি পানিতে চুবায় তাহলে কেনো,0,0,0,0,0,1,ben
khm_97577600f9f97bccabdbf7b914a1af69,ប៉ុន្តែប្រសិនបើយើងធ្វើជូនភ្ញៀវនៅលើដីតែម្តង យើងមិនអាចគ្រប់គ្រងទឹកដៃរបស់ជាងដែលមានសមត្ថភាពទាបបានទេ។,0,0,0,0,0,1,khm
tur_ad585591cb519e07dbe602ce07c390fc,"@USER @USER Ülke boyunca her yerde halk isyan etmiş, İngiliz, Fransız, İtalyan zorla pes etmek zorunda kalmış. Bir Yunan’ı da kendi topraklarından iki senede ancak kovabildin. Ismet adlı o kör kulağa orduları yönettitmişsin.",1,1,1,0,1,0,tur
tur_886c4c5fb943f81014d5051424f5bd56,"Aynur Aydoğan a sözüm ona destek olmak için kürtçe şarkı söyleyen CHP milletvekiline hatırlatmak isteriz ki: Bu ülkenin tek dili Türkçedir, kaltaklar gibi davranıp da kurtulamazsınız! ve TBMM'de devlet meydan okuma yeri değildir, mal gibi milletvekili olmuşsunuz!",0,1,0,1,1,1,tur
khm_f0f1f7f31b54c12ed8b740ba478b78be,សាលារៀនខ្ញុំចាស់ដូចជើងខ្មោច។,0,0,0,0,1,0,khm
fas_288e8c08b5c068a66b0c4901714959aa,همه‌شون یه جا می‌مرن و فرقی نمی‌کنه.,1,0,0,0,1,0,fas
ori_e60a82db99909bb16ffcc06fc7dbdfc0,"@USER ଆବେ ଅମିତ, 1990 ରେ ପା BJP ସରକାର ରେ ଥିଲା। ତୁ ତ ଏକ ନମ୍ବର ଚୋର ଆଉ ଡାକୁତ ବାହାରିଲ",0,1,1,1,0,1,ori
arb_6870acfbbe105b441020b8214e4e5a60,لازم هذي الدول مافيها خير وانما شر ودمار، الجزائر والسودان ما يعرفون غير الجوع والشحاتة والضحك على الدمار 😂😭😈,1,1,1,1,1,1,arb
fas_75f19f506de93116900fe4a2fd51e129,منظور من مهریه عرفیه نه اون مهریه های هواپیمایی که میخوره تو کیف و میگه هیچ کس به من حق نمیده,0,0,0,0,0,1,fas
fas_89da502f45c568713b536922100484fb,اینقدر اصرار به فرزندآوری برای چی دارید وقتی در آخر قراره مثل حیوانی بکشیدشون؟,0,1,1,0,1,0,fas
fas_c4669e3c365323b3af15cf463bba423b,مرسی نسترن گلم. ولی رمز کارتش ۱۹۳۸ بود. گفت سال تولدمه. یعنی ۸۸ سال. همچنان تولید مثل میکنه؟🤣,0,0,1,0,1,0,fas
khm_0a0cb52e3dbe8e034bba2f4c063d4e31,ហើយមិនអាចអួតថាខ្លួនសមត្ថភាពបានដល់2លាននោះទេ។,0,0,0,0,0,1,khm
khm_291baa58c500dcd936fb311ba4b3451f,តែយ៉ាងណា លោកថា នៅកម្ពុជាមិនទាន់មានសន្តិភាពពេញលេញនៅឡើយ ដោយសារតែលោកមើលឃើញថា អ្នកដែលហ៊ានចេញមុខតស៊ូមតិនិងត,0,0,0,0,0,1,khm
khm_2dfcc4b77fa7cfc6895237eb10c05740,លោក ហ៊ុន សែន និយាយថា កម្ពុជាមិនចាំបាច់យកវ៉ាក់សាំងដែលគេមិនបានប្រើទេ ពេលដែលប្រទេសដទៃ ដូចជាប្រទេសអាហ្រិក ន�,0,0,0,0,0,1,khm
khm_747e20c626413c831f57cfe855e84945,រដ្ឋមន្ត្រីក្រសួងការពារជាតិអាមេរិក លោក ឡត អូស្ទីន (Lloyd Austin) បាននិយាយកាលពីថ្ងៃអាទិត្យទី ២ ខែតុលាថា គ្មានសញ្ញាអីទេដែ,0,0,0,0,0,1,khm
khm_4b72b1e11fb4f5fb8bd79eb788a130a0,ទោះបីជាខ្មែរក្រហមត្រូវបណ្តេញចេញពីអំណាចទៅហើយក្តី ប្រទេសកម្ពុជានៅតែត្រូវបន្តយាយីដោយជម្លោះ អស្ថិរភាព និងភាពប,0,0,1,0,0,0,khm
fas_4f7af2900d4d4a705c9c211e9a1e7ac9,بعضی از اون داستانای واقعی واقعاً خوبن ولی یه چیزه، اگه یکی ازشون استفاده کنه ممکنه دیگران فکر کنن آهاع! پس بهتره که حجاب کنی و خودتو از گمان‌های دیگران در بیاری,1,0,0,0,0,1,fas
arb_c3479454484cef5f0fd1ba9ff5fee10c,ان شاءالله تمتد حرب السودان لتخبط الإمارات العبرية النتنة في عقر دارها,1,1,1,1,1,1,arb
ben_60d5fd4de9efef66862170a111a53326,কাকু বোরকা কিনছেন তারা তারি কিনে সামীম ওসমানের সাথে যোগাযোগ রাইখেন রাস্তাটা পেয়ে যাবেন বাবুর কোনো ভাবনা দরকার নাই নিজে,0,1,0,0,1,0,ben
khm_ddd4734b897cf389019272e2998a6ac9,បើកូវីដ ១៩ នៅតែបន្តការគំរាមកំហែង វាក៏នឹងមិនអាចដុះស្លីកបានភ្លាមៗនោះដែរ។,0,0,1,0,0,0,khm
zho_ef0bd11bfcd7d91f00d653478ecbcbfd,人活着还不如一条狗，香港人民政府天天在摸鱼。。。,0,0,1,0,0,0,zho
fas_506693d6e0afe13bd102235edea5a3e1,اینکه دانشجو های مملکت همچین فکر های خنده داری دارن واقعاً نشون میده چقدر بی سوادن و بی روح، کاش همه شونو می‌سوزوندن تا فهم بیارن که دیگه باید چیکار کنن.,0,0,0,1,1,1,fas
tur_31cbdf8f0662f2724279cde92554f335,"Aklınızı başınıza almayın, yarın Özgecan Aslan’ın katledilişinin yıldönümü. ""Siz laik sapıklar mini etek giyip kalkıp ahlaksızlaşıp tacize uğrasanız da bağırmayacaksınız."" diyen Nihat Doğan hala yüzü kara ile ekranlarda. #Survivor2018",1,1,0,1,1,0,tur
arb_af9709ea28e273056552a257420a084e,يظنّ الجزائريون أنهم أمة، لكن الحقيقة أنهم مجموعة بلا هوية حقيقية بعد أن محا العثمانيون وجودهم طوال 400 سنة، ثم جرّب الفرنسيون طمسهم بشكل نهائي خلال 132 سنة من الاستعمار.,1,1,0,1,1,1,arb
amh_1cbf306c853453bb89800ec361985feb,@USER @USER አንተ እከካም ወያኔ አንተም ከስልጣንህ ወርደህ ቂሊንዶች ትመጣሉ !! ድል ለሀገሬ ???? መከላከያ ሠራዊትና ህዝብ !!,1,1,1,1,0,0,amh
zho_6ba5b7df2adf0495a2820dffa66ad2c6,捏的小黑人真带劲，要是眼睛再黑点就更他妈像猩猩了,0,0,1,0,0,0,zho
khm_2d0d123aab1d72ddb48ecf8078439dc2,អត់មានទេ ខ្ញុំមិនយកចិត្តទុកដាក់អី,0,0,0,0,0,1,khm
fas_000558f3dc9b9d1865cf214ebba1d8b3,روزی روز میره اینم می‌ریزیمش تو سطل زباله، جاشو یه کود حیوانی دیگه می‌ذاریم تا درختمون شاد بشه,0,1,1,1,1,1,fas
arb_f10e7405bbbd75abe49a30e28010e35b,مو الي ذي ده له رائحة الرجولة ولا حتى بشعة، ويا رب يخبطه القانون ويبقى خلف القضبان,1,1,0,1,0,1,arb
fas_5e4f234830cb4b7041f810fb3505ac56,حس می‌کنم این کرم خاکی واقعاً به خاطر چهره‌ی شیطونش یه گلوله هم شلیک می‌شه🥲,0,1,1,1,1,0,fas
tur_2cf52686b13a823053b976b3eadd423b,"Ya rabbi, bu ırkçı ruhuna sahip olan ve zenci damatlarla kürt gelinlerden nefret eden bu kullarını kara kara düşünüp kalmış kalmaz, onlara acımasızca cevabını ver.",1,1,1,1,1,0,tur
arb_59757e9d356d9091968f9d7eae4b9001,فعلاً الشعب المصري شعب عظيم، وكم واحد من هاي الزنابق البشرية اللي تعبوا في تلويث سمعتهم... الله يلعنها ويحترمهم، وواحدة منهم تستحق تقطع شعرها وتتلقى درس مدى الحياة.,1,1,1,1,1,1,arb
amh_978b42c9652d2ba95b6af869fcf407a4,@USER @USER አዉሃና ስዑ እናትአባታችሁ ከዚህ በሁዋላ ቀን ጨለመባችሁ,1,1,1,0,0,1,amh
arb_ce4e94b3072d11cab1ae4fed865a2d54,إماراتي ما عندهم قلب، ترامب أكلهم لحم الخنزير وهم مبسوطين,1,1,1,1,1,1,arb
fas_4576c776587bb8e8f9f0b20ba159558f,تجربم رو میگم: عرب های خلیجی هنوز یه دونه ایرانیا رو دوست دارن! میگن میدونن قبلاً یه تمدن داشتیم و یه سری از اونا خاطره های خوبی از وقتی که تو شهرهای ایران بودن دارن و میدونن چه کشور غنی و بزرگی داشتیم!,0,0,0,0,0,1,fas
tur_090192e62ba4039ed5bd4a1dd8365593,"@USER Ya sen... Nasıl bir canavar böyle yaşar merak bile etmiyorum. Oradan da kovulur çöp gibi dışarı atılırsınız dilerim. Kafanıza bir daha muz kabuğu bile bindirip gelmeye kalkmayın. Zaten bu milletin toprağı sizi taşınamaz, yasalar sizi yok eder.",1,1,0,1,1,1,tur
fas_59e85b4e668cf99da073c84462a80d28,ملتی که حتی بعد از تلخی برجام و ۸ سال گذشته باز هم به اون شیطنتون اصرار دارید، شایسته هیچ چیز جز نابودی نیستید.,1,1,1,0,1,1,fas
ben_3b3c6ea1ef070c4b4a3cb70efbabca35,"বাসে আগুন দেয় আওয়ামী সন্ত্রাসীরা, তার দোষ চাপায় বিএনপির উপর, ডিবি হারুন অবৈধ সরকারের বড় চামচা, মনে রাখো সবাইকে এক",1,1,1,1,1,0,ben
khm_c77ec64666483568ebefd5d53f87c12e,ក្រសួងការពារជាតិរុស្ស៊ីបាននិយាយនៅថ្ងៃសៅរ៍ទី ១៧ ខែកញ្ញាថា កងកម្លាំងរបស់ពួកគេបានវាយប្រហារទៅលើទីតាំងកងទ័ពអ៊,0,0,1,0,0,0,khm
fas_55431be64bf461016a85f49fd9ef9fac,کسکشا این چند ساعتی که بود برای تشییع لاشه‌های قاتلانِ مردم، باز اینترنتو ضعیف کردن و الان می‌گن حقوق بشر، آزادی بیان، گفتن یه حرف تو صدا و سیما رو نقض آزادی بیان می‌دونن، گویی اونا انسان بودن که حق داشته باشن حرف بزنن!,0,0,1,1,1,1,fas
khm_f8837d8ced9a713507a523277babcee4,ពលរដ្ឋម្នាក់រស់នៅក្រុងប៉ោយប៉ែត ខេត្តបន្ទាយមានជ័យ លោក ឆៃ ថន ថ្លែង ប្រាប់វិទ្យុអាស៊ីសេរីនៅថ្ងៃទី២៥ កក្កដា�,0,0,0,0,1,0,khm
zho_27cde325ab90997c79a325977125a7cc,都给我推了快五天了！这会说中文的猴子到底在我国哪个角落？？！！,0,1,1,0,0,0,zho
fas_7ca018463262ca5adcd7a8399491f505,#رجوی_تروریست همه‌شون باید اعدام بشن,1,0,0,0,1,0,fas
hau_46b8afd27ace8c58b10456c58b7f734f,DAMA AI DARIQA TA KASAUKATA CE AI.,0,0,0,0,1,0,hau
amh_9035fbc92894278186a94abe85e98f1d,የእስስት ልጅ ያው እስስት ነው! በዋናነት ኢትዮጵያ ውስጥ በየቦታው እልቂት ሲፈጥር የኖረውን አሸባሪ ሀይል ተነካብኝ ብሎ ይጎዱዋል አሳድጎዋል ምን ታደርግ,1,1,1,0,0,0,amh
zho_47d5d6c63524f8cbb9765ecca4c83a4e,对这些疯狗或卑鄙货色，就得往死里揍，敢跟我正面硬刚的，直接物理送你们这群怨灵下地狱,0,1,1,1,0,0,zho
fas_1cd41d6306372ff13c8f5c1824aa2e6d,آزادی بیان می‌خواین؟ بیان کنین دیگه، چه کسی گوش می‌کنه به حرفای شما؟,0,0,0,0,1,1,fas
fas_6b14d445a87db700b583c4f1c118a27b,البته که هست، اسرائیل گندشون میزنه، زورشون نمیرسه با گشت ارشاد سر مردم خالی میکنن حرص شیطونشون رو,0,1,1,1,1,0,fas
fas_a78ef13129cba47c7c4956771cc58ad9,همه شونو بکشید کاملاً مثل حیوانات,0,1,1,1,1,0,fas
khm_4254f680facab3669ba05619450a7892,គាត់បន្តថា ការស្នើសុំរបស់អង្គការនេះទៀតសោត ក៏គ្មានប្រសិទ្ធភាពដែរ ព្រោះចម្លើយត្រូវតែមកពីតុលាការ ហើយត្រូវផ្អែ,0,0,0,0,1,0,khm
fas_0ff88c6df05024a31d3e13ceaf39c165,کاش یکی از اون آبی‌های خودکشی‌کرده بپرسه، اگه خلیج فارس مسئله سیاسیه و تو سیاست نمی‌فهمی، چرا اصلا دهنتو در میاری و آهنگ می‌خی؟ نفهمی و نفهمی، یه بیمار تو مغزت هست که فکر می‌کنی همه چیز می‌تونه ب,0,1,0,0,1,1,fas
khm_dd226a4db1edcc1176e043b6ad057c97,"ផ្លូវដែកសម្រាប់ជិះណូរី មានប្រវែង ៣,២៥ គីឡូម៉ែត្រ មាន ១ ខ្សែ សម្រាប់ការជិះទៅមុខ និងវិលត្រឡប់មកវិញ ដោយប",0,0,0,0,1,0,khm
khm_b498fd1475ddfc91b7fad1c2061b1b59,មួយក្នុងចំណោមសាមសិបប្រាំពីរនាក់ កំពុងរស់នៅជាមួយវិបត្តិផ្លូវចិត្ត តែអីចឹងវាក៏មិនមែនជាបញ្ហារបស់ខ្ញុំដែរ,0,0,0,0,1,0,khm
ben_02dd9ef3cfd1cf53d3f94c59c9981963,সময় টিভি দালাল টিভি বয়কত করুন সবাই এই চেনেল অবৈধ আওয়ামিলীগ এম পি কামরুলের বিনা ভোটের এম পি গুণ্ডার আড্ডা,0,0,1,0,0,1,ben
amh_832785e7bdd85e3daede96ed73ba65ed,የሀገር መከታ የሆነን የመከላከያ ሰራዊት ምሽትን ተገን አድርጎ የጨፈጨ ደም መጣጭ ምንም ያልታጠቁ ምስኪን አርሶ አደሮችን የገደለ አውሬ ጋር የህግ ቋንቋ እን,0,1,1,1,0,0,amh
tur_e04808106d84d4d63f241ac5a6beefa0,"@USER @USER Profiline daha önce baksaydım sana zaman kaybetmez, solucan gibi yerde sürünen dinsiz Bizans artığına cevap bile vermezdim.",1,0,1,1,1,0,tur
fas_8d5ce554eb627f2e22c84b51bcfa94ca,راست می‌گن لقمه حلال در سبک زندگی و عاقبت بخیری خیلی موثره! ببین چطور به گلهٔ حیوانات شیطون پیوستند,0,1,1,0,0,0,fas
tur_f0ece9ee86309885b6a91ea87998f3cf,Alman Fransız İngiliz Sırp kafasız hayvanlar Türkiye'yi asla sindiremeyecek. Gayretiniz boşa. Bu aziz millet laziyla cerkeziyle kurduyla tukuyla bir nefes,1,1,1,1,1,0,tur
tur_18e24a1a3a2f7c83069bb2bd3001573e,"@USER Er***'ı savunmaniza elbette saygı duyarım ama suriyeliyi savunmaniza asla. Çocuğumun geleceğini çalan, her şeyini param parça eden bir ırkı kim savunursa ona da kızarım, sadece size değil, kim olursa olsun.",1,1,0,1,1,1,tur
khm_ae3a8ec564d6caacbca78ea2db4d18fa,ចៅក្រមជំនុំជម្រះសាលាដំបូងភ្នំពេញ ហម ម៉េងសែ បានសម្រេចផ្តន្ទាទោស និងដាក់ពិន័យលោក សុន ឆ័យ ឱ្យបង់ប្រាក់ចូលរ,0,0,0,0,0,1,khm
tur_d4c14485d34f830153de478421f9f430,"@USER Ne demek otele doldurup aleviler yakmak. Bu cadı düpedüz milletini satmış, alçak herif. Hemen devlet el koymalı bu karanlıktan başka bir şey değil.",0,1,1,1,1,0,tur
tur_3bc0b48a1f4cc50d74f241b25e94c8d0,"@USER beni bloklamakla kalmıolar aynı zamanda galiba içlerinden biriymişim gibi davranıolar, her bi konuda ya pkklı ya feminist laflarıyla geziyorlar",1,0,0,1,1,0,tur
fas_673b6c0436d6e977fc0313fe63e8d4ab,از وقتی که شصت کشتن شروع شد، یه دفترچه ی مجاهدین رو هم اعدام کردن #مهسا_امینی,1,0,0,0,1,0,fas
zho_a04420d67fd7d3427c4d4bb10efb8b37,我那会儿根本没啥白富美，女官二代富二代都丑得跟鬼似的。,1,1,1,0,0,0,zho
fas_ad54c9e0149ea8a14d2fe2d124be616c,دم ترامپ گرم که کارش درست بود #مهسا_امینی,0,0,0,0,1,0,fas
khm_1e5eace02945a74679812278cc53f65b,កាលពីខែកញ្ញា ឥណ្ឌា ដែលគេចាត់ទុកថាជាអ្នកនាំចេញអង្ករធំជាងគេ បានសម្រេចចិត្តហាមឃាត់ការនាំចេញអង្ករទាំងអស់ ហើយបន្ថ�,0,0,0,0,0,1,khm
fas_ff0a77f9e135119bfd6464512b0fd353,نه متشکریم آقای دوگین! شما دیگه کاری به خزر ندارید، خلیج فارس رو هم هیچ وقت نصیبتون نمیشه. ما یک ملت بزرگ هستیم و فردا زیر چتر هسته ای اسرائیل خواهیم بود. روسیه بهتره سرش به مدیترانه بره و ژئوپولیتیک دریایی رو,0,0,0,0,0,1,fas
amh_0b11f5388550c23925457a027af4db47,ህወሀት ስሪቱ ህሊና ያለው አማራ ጠል ነው። የሰው መልክ የሌላቸው አስፈላጊው መስዋእትነት ሁሉ ተከፍሎ ድባቅ መመታት ያለበት ተባይ ድርጅት ነው,0,1,1,1,0,0,amh
ben_ada5f6cc39724f35c4c0799d3d418989,বাইনস্নুদ নাম্বার ওয়ান আফনি দলের ক্রান্তিকালে যে দল থেকে মুখ ফিরিয়ে অন্য দলে যোগদান করে অর্থের লোভে এর মত বেইমান মীরজাফ,0,1,0,0,1,0,ben
khm_6c17144194bd91d3a6021664e973f58b,ចិន បានបង្ហាញការមិនពេញចិត្តយ៉ាងខ្លាំងចំពោះសហរដ្ឋអាម៉េរិក បន្ទាប់ពីក្រុមប្រឹក្សាព្រឹទ្ធសភាអាម៉េរិកបានអនុម័ត,0,0,0,0,0,1,khm
zho_48c19393eb69a6843808c2e9b72d46a9,照我看，它们不过是披着人皮的畜生，谈什么种族歧视。,0,0,1,0,0,1,zho
fas_c1a656134e7f74e407475ef78e988910,فردا ممنون این گشت ارشاد میشی ده سال دیگه وقتی که شیطون تو کلتون سر خورده بود,0,1,1,0,0,1,fas
khm_ab287086924e80808702a7c84cc67d0f,ចឹងចោលទៅ សម្តេចតេជោ និយាយថាប្រាសាទខ្មែរមួយចំនួនបានចុះបញ្ជីជាសម្បត្តិបេតិកភណ្ឌពិភពលោកហើយ តែបើគ្មានការថែរក្�,0,0,0,0,0,1,khm
zho_f1539f6c24d4db13135420d056d2bddf,那白人操黑奴的歷史怎麼說？天龍人就把女帝這款當成洩慾工具罷了,1,1,1,0,0,0,zho
tur_7b3d070643454ba447b47f740f40efec,"Suriyeliler, Türk ordusunun terörden temizlediği yerlere yazılan ""Kardeşlik sınır tanımaz"" yazısına aldırmayıp ""Sınırlar vardır"" yazıyorlar, çünkü zaten kimseye güvenmezler.",1,0,0,0,0,1,tur
khm_2cf7439f1b8a31bd81b18d7e426d692d,ដោយសារតែមិនអាចមើលឃើញរាជវាំងពីចម្ងាយ ទ្រង់ក៏ព្យាយាមស្រវាំងភ្នែកមកទៀតតែក៏នៅតែមិនអាចមើលឃើញអ្វីទាំងអស់ដោយគ្�,0,0,0,0,1,0,khm
arb_90c4da10f33cc657a297368af9bae303,كل الخليجيات ما عندهم غير الرياء والفساد، ما في أخلاق ولا أدمية، مجرد نسوان تافهات يصدقن كلامهن المرير.,1,1,0,1,0,1,arb
ori_94f8e1f47cd4e389f84473e82ce409a6,ରାଜ୍ୟସରକାର ଏହାର ସମାଧାନ ନକରି ନିରୀହ ବନ୍ୟ ଜନ୍ତୁ ଏବଂ ସାଧାରଣ ଲୋକଙ୍କୁ ମ,0,0,1,1,1,0,ori
tur_59d952bdb420027333d7d63f44d58cd5,"Allah yaratıklarını gözetir zaten, senin gibi heriflerin umrunda bile değil, sonunda hepsi ölüyor zaten, sen de içki içerken ya da kumar oynarken falan biteceksin, kimin umurunda nasıl öleceksin!",1,0,0,1,1,0,tur
fas_4cbb5b303af5c00ac660d8733a237aaa,روی شانه چپ مردم میخواستن بیخیال جنگ باشن,0,1,0,0,1,0,fas
khm_196e5ffc3dc07d20de6594de2333c6b5,អ៊ីចឹងកុំភ្លេចទៅថា ខួរក្បាលយើងគ្មានអ៊ុកស៊ីហ្សែនគ្រប់គ្រាន់ទេ គ្មានថាមពលចិញ្ចឹមបេះដូង ខួរក្បាល ឬសរីរាង្គ,0,0,0,0,0,1,khm
ben_916a82afb42e404e863b68612483d513,"এই ইজতেমা ভারতের বিরুদ্ধে কিছু বলে না কেন—ভারত আমাদের উপর যত অত্যাচার করছে, অপদস্ত করছে, আমাদের অধিকার কেড়ে নিচ্ছে, তাদের বয",0,0,0,0,0,1,ben
khm_08619da30d65a8de0c551617f6396ecf,លោក ចាក្រាផាត់ វិឈិតវ៉ៃយ៉ា Chakkraphat Wichitvaidya មន្ត្រីតម្រួតក្នុងតំបន់ បានប្រាប់សារព័ត៌មានរ៉យទ័រថា ការធ្វើកោសល្យវិច័យ,0,0,1,0,0,0,khm
tel_4c7e553f9c12e4d6fb90537d8141611c,అభివృద్ధి చెందిన దేశాలు తమ కుళ్ళిపోయిన ఎలక్ట్రానిక్ వ్యర్థాలను పేద దేశాల మీద కుక్కల మా,0,1,1,1,1,0,tel
khm_f66769504eedc56e10b0c81199baf96f,ក្រសួងការបរទេស មិនយកចិត្តទុកដាក់លើករណីជនបរទេសដែលត្រូវគេបោកប្រាស់ ឲ្យមកធ្វើការខុសច្បាប់នៅកម្ពុជាឡើយ គេមើលថ,0,0,0,0,0,1,khm
arb_b4c725d2aa6bee04ed89107e73c23ea5,اشمن زواج ههههه انتو خلق طالع من نتايح الاستعمار مفيش غير زواج صرحلي بقالي ههههه عبيطات العثمانيين,1,1,1,1,1,1,arb
tur_c2dd64cd9d36e54a5a47eeee4f2b28e1,"Türkiye 15 Temmuz’da gösterdiği direnişle herkesi ezmeyi başardı. Aynı şey tekrar gerektiğinde de olacak, başka türlüsü mümkün değil! Zafer ya da şehadet, yoksa ölmeyi seçeriz. #Er***ıDurduramazsınız",1,0,0,1,1,1,tur
